Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
118,Justin Harper,2011,32.00,80.00,80.75,83.75,106.00,33.00,139.00,28.50,134.50,228.00,4.00,9.00,9.25,11.92,3.30
119,Kyle Singler,2011,33.00,79.50,80.50,82.10,106.00,30.00,136.00,23.00,129.00,228.00,10.00,8.25,8.75,11.22,3.21
120,Shelvin Mack,2011,34.00,73.00,74.50,79.50,96.50,39.00,135.50,32.00,128.50,209.00,7.10,8.25,9.25,11.23,3.18
121,Tyler Honeycutt,2011,35.00,78.75,80.25,81.00,105.00,37.00,142.00,30.00,135.00,187.00,5.30,8.50,9.50,11.68,3.07
122,Jordan Williams,2011,36.00,79.75,81.00,84.25,106.50,30.50,137.00,25.00,131.50,247.00,12.10,9.25,10.00,12.74,3.45
123,Trey Thompkins,2011,37.00,80.50,81.75,85.00,107.50,30.50,138.00,27.50,135.00,239.00,15.50,9.25,9.75,11.72,3.41
124,Chandler Parsons,2011,38.00,80.75,81.75,81.50,104.50,31.50,136.00,25.50,130.00,221.00,7.00,8.25,10.00,11.05,3.29
125,Jeremy Tyler,2011,39.00,81.00,82.50,89.00,110.50,33.50,144.00,28.00,138.50,262.00,13.40,9.25,9.00,11.26,3.29
126,Tristan Thompson,2011,4.00,79.50,80.75,85.25,108.50,35.00,143.50,30.00,138.50,227.00,6.20,8.75,9.25,10.92,3.26
127,Jon Leuer,2011,40.00,82.00,83.50,84.00,105.50,36.50,142.00,29.50,135.00,223.00,5.40,8.75,9.75,10.82,3.36
128,Darius Morris,2011,41.00,75.25,77.25,79.50,102.00,32.00,134.00,24.50,126.50,190.00,5.30,8.75,10.00,11.00,3.20
129,Malcolm Lee,2011,43.00,76.00,77.50,81.75,101.50,35.50,137.00,30.00,131.50,198.00,5.90,8.50,9.50,11.20,3.09
130,Charles Jenkins,2011,44.00,73.50,75.25,79.50,96.50,34.00,130.50,29.50,126.00,216.00,4.30,8.50,9.00,11.68,3.18
131,Andrew Goudelock,2011,46.00,73.25,74.75,76.25,96.50,37.00,133.50,32.50,129.00,198.00,9.90,8.25,9.25,10.33,3.10
132,Travis Leslie,2011,47.00,75.00,76.25,82.50,103.00,40.50,143.50,33.00,136.00,205.00,8.10,8.75,9.25,11.00,3.13
133,Keith Benson,2011,48.00,82.00,83.00,87.75,109.50,36.00,145.50,31.50,141.00,217.00,6.10,9.50,11.00,11.88,3.35
134,Josh Selby,2011,49.00,73.75,75.00,77.25,98.00,42.00,140.00,29.50,127.50,195.00,7.90,8.50,9.00,11.13,3.20
135,Jon Diebler,2011,51.00,77.25,78.50,78.00,99.00,35.00,134.00,28.00,127.00,197.00,8.50,8.25,8.25,10.94,3.37
136,DeAndre Liggins,2011,53.00,77.00,78.25,83.00,103.50,31.00,134.50,27.00,130.50,202.00,5.00,8.75,10.00,11.33,3.33
137,E'Twaun Moore,2011,55.00,74.50,76.00,81.50,99.50,34.50,134.00,32.00,131.50,191.00,7.60,9.00,10.00,11.12,3.31
138,Isaiah Thomas,2011,60.00,68.75,70.25,73.75,91.50,40.00,131.50,31.50,123.00,186.00,6.70,8.25,9.00,10.49,3.14
139,Brandon Knight,2011,8.00,73.50,75.25,78.75,98.50,37.50,136.00,29.00,127.50,177.00,4.20,8.25,9.50,10.74,3.07
140,Kemba Walker,2011,9.00,71.50,73.00,75.50,91.50,39.50,131.00,32.00,123.50,184.00,5.90,8.00,9.00,10.87,3.16
141,David Lighty,2011,28.49,76.75,78.50,80.00,101.00,33.00,134.00,28.50,129.50,216.00,6.50,9.00,10.00,10.81,3.25
142,Demetri McCamey,2011,28.49,73.75,75.25,78.25,99.50,33.00,132.50,27.00,126.50,204.00,6.10,8.50,9.00,11.55,3.19
143,Greg Smith,2011,28.49,80.00,81.25,86.50,106.50,36.00,142.50,29.50,136.00,253.00,7.40,9.75,12.00,12.43,3.36
144,Jamie Skeen,2011,28.49,78.50,80.00,85.25,106.50,30.50,137.00,26.00,132.50,242.00,9.80,8.50,8.50,12.43,3.46
145,Jereme Richmond,2011,28.49,78.00,79.25,82.25,106.50,33.50,140.00,27.00,133.50,207.00,5.50,8.75,9.50,11.74,3.02
146,LaceDarius Dunn,2011,28.49,75.00,76.00,78.25,101.00,31.00,132.00,26.50,127.50,188.00,5.50,9.00,10.25,11.45,3.27
147,Malcolm Thomas,2011,28.49,79.50,80.75,84.50,107.50,36.50,144.00,32.00,139.50,223.00,5.90,9.50,10.50,11.31,3.29
148,Michael Dunigan,2011,28.49,80.50,82.00,87.25,107.50,34.50,142.00,29.50,137.00,238.00,8.00,9.00,10.75,11.85,3.27
149,Rick Jackson,2011,28.49,80.25,81.25,86.00,106.50,33.00,139.50,28.50,135.00,242.00,8.30,8.75,9.50,11.51,3.26
150,Scotty Hopson,2011,28.49,77.75,78.50,82.50,103.50,36.00,139.50,32.50,136.00,205.00,4.80,8.50,10.00,10.47,3.18
151,Anthony Davis,2012,1.00,81.25,82.50,89.50,108.00,35.50,138.17,29.58,132.62,222.00,7.90,9.00,8.50,11.33,3.30
152,Austin Rivers,2012,10.00,75.50,77.00,79.25,96.50,37.50,134.00,32.50,129.00,203.00,6.20,8.50,10.00,11.54,3.32
153,Meyers Leonard,2012,11.00,83.75,85.25,87.00,108.00,32.50,140.50,30.00,138.00,250.00,5.70,9.25,11.00,11.34,3.41
154,Jeremy Lamb,2012,12.00,76.00,77.25,83.00,102.00,38.00,140.00,31.50,133.50,179.00,4.50,8.75,9.25,10.98,3.25
155,Kendall Marshall,2012,13.00,75.25,76.25,77.50,96.00,37.00,133.00,31.00,127.00,198.00,7.80,8.50,9.00,12.03,3.23
156,John Henson,2012,14.00,81.00,82.50,89.00,112.00,30.00,142.00,25.50,137.50,216.00,8.60,9.25,10.00,11.33,3.30
157,Moe Harkless,2012,15.00,79.25,80.75,84.00,102.50,37.00,139.50,32.50,135.00,207.00,5.30,9.25,10.25,10.87,3.25
158,Royce White,2012,16.00,79.00,80.00,84.00,104.50,35.50,138.17,29.58,132.62,261.00,10.60,9.50,11.50,11.33,3.30
159,Tyler Zeller,2012,17.00,83.25,84.50,84.00,104.50,34.00,138.50,30.00,134.50,247.00,6.40,9.00,9.75,11.13,3.40
160,Terrence Jones,2012,18.00,80.25,81.50,86.25,107.00,34.50,141.50,29.50,136.50,252.00,7.70,9.00,10.00,11.57,3.40
161,Andrew Nicholson,2012,19.00,80.50,81.50,88.00,107.00,30.50,137.50,28.50,135.50,234.00,7.60,10.00,10.75,11.89,3.67
162,Michael Kidd-Gilchrist,2012,2.00,77.75,79.50,84.00,104.50,35.50,140.00,32.00,136.50,233.00,7.00,9.00,10.25,11.77,3.18
163,Jared Sullinger,2012,21.00,79.75,81.00,85.25,105.50,31.00,136.50,29.50,135.00,268.00,10.70,9.25,9.75,12.77,3.81
164,Fab Melo,2012,22.00,82.75,84.00,86.50,110.00,31.00,141.00,29.50,139.50,255.00,9.20,9.00,10.00,12.14,3.44
